linha,seq,sequencia,atividade,grupo,status,inicio,fim,motivo_nao_persistir,is_visible
14,19,REDE,CRQ SI,N/A,N/A,2026-02-07 19:00:00,2026-02-07 23:00:00,Grupo E Status vazios/N/A (is_visible=0),0
15,19,REDE,CRQ Openshift,N/A,N/A,2026-02-07 19:00:00,2026-02-07 23:00:00,Grupo E Status vazios/N/A (is_visible=0),0
16,19,REDE,CRQ NAS,N/A,N/A,2026-02-07 18:50:00,2026-02-07 23:00:00,Grupo E Status vazios/N/A (is_visible=0),0
48, ROLLBACK,REDE,N/A,N/A,N/A,N/A,N/A,Atividade vazia | Sem início ou fim válido | Grupo E Status vazios/N/A (is_visible=0),0
54,N/A,REDE,ATIVIDADE DE ROLLBACK - STOP DA APLICAÇÃO GESTECH,JORNADAFULF_N2,A Iniciar no prazo,2026-02-08 10:30:00,2026-02-08 11:30:00,Seq inválido ou vazio,0
13,N/A,OPENSHIFT,CRQ NFS,N/A,N/A,2026-02-07 20:30:00,2026-02-08 01:45:00,Seq inválido ou vazio | Grupo E Status vazios/N/A (is_visible=0),0
14,N/A,OPENSHIFT,VIRADA da REDE,N/A,N/A,2026-02-07 23:00:00,2026-02-08 01:45:00,Seq inválido ou vazio | Grupo E Status vazios/N/A (is_visible=0),0
24, ROLLBACK,OPENSHIFT,N/A,N/A,N/A,N/A,N/A,Atividade vazia | Sem início ou fim válido | Grupo E Status vazios/N/A (is_visible=0),0
12, ROLLBACK,NFS,N/A,N/A,N/A,N/A,N/A,Atividade vazia | Sem início ou fim válido | Grupo E Status vazios/N/A (is_visible=0),0
20,N/A,NFS,N/A,N/A,N/A,N/A,N/A,Seq inválido ou vazio | Atividade vazia | Sem início ou fim válido | Grupo E Status vazios/N/A (is_visible=0),0
21,N/A,NFS,N/A,N/A,N/A,N/A,N/A,Seq inválido ou vazio | Atividade vazia | Sem início ou fim válido | Grupo E Status vazios/N/A (is_visible=0),0
22,N/A,NFS,N/A,N/A,N/A,N/A,N/A,Seq inválido ou vazio | Atividade vazia | Sem início ou fim válido | Grupo E Status vazios/N/A (is_visible=0),0
23,N/A,NFS,N/A,N/A,N/A,N/A,N/A,Seq inválido ou vazio | Atividade vazia | Sem início ou fim válido | Grupo E Status vazios/N/A (is_visible=0),0
24,N/A,NFS,N/A,N/A,N/A,N/A,N/A,Seq inválido ou vazio | Atividade vazia | Sem início ou fim válido | Grupo E Status vazios/N/A (is_visible=0),0
